URL,Rank,Name,Year,Length,Rating,Genre,Description,iTunesURL
https://www.boxofficemojo.com/release/rl1265337857/?ref_=bo_yld_table_1,1,Harry Potter and the Deathly Hallows: Part 2,2011,131.0,PG-13,Kids & Family,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",https://itunes.apple.com/us/movie/harry-potter-and-the-deathly-hallows-part-2/id455832983?uo=4
https://www.boxofficemojo.com/release/rl2977400321/?ref_=bo_yld_table_2,2,Transformers: Dark of the Moon,2011,155.0,PG-13,Action & Adventure,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",https://itunes.apple.com/us/movie/transformers-dark-of-the-moon/id457992430?uo=4
https://www.boxofficemojo.com/release/rl3292956161/?ref_=bo_yld_table_3,3,The Twilight Saga: Breaking Dawn - Part 1,2011,117.0,PG-13,Thriller,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",https://itunes.apple.com/us/movie/the-twilight-saga-breaking-dawn-part-1/id1437294439?uo=4
https://www.boxofficemojo.com/release/rl408323585/?ref_=bo_yld_table_4,4,The Hangover Part II,2011,102.0,R,Comedy,"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.",https://itunes.apple.com/us/movie/the-hangover-part-ii/id449813480?uo=4
https://www.boxofficemojo.com/release/rl4117267969/?ref_=bo_yld_table_5,5,Pirates of the Caribbean: On Stranger Tides,2011,136.0,PG-13,Action & Adventure,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",https://itunes.apple.com/us/movie/pirates-of-the-caribbean-on-stranger-tides/id444528746?uo=4
https://www.boxofficemojo.com/release/rl877889025/?ref_=bo_yld_table_6,6,Fast Five,2011,130.0,PG-13,Action & Adventure,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,https://itunes.apple.com/us/movie/fast-five/id447343981?uo=4
https://www.boxofficemojo.com/release/rl3091760641/?ref_=bo_yld_table_7,7,Cars 2,2011,107.0,G,Kids & Family,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,https://itunes.apple.com/us/movie/cars-2/id450754772?uo=4
https://www.boxofficemojo.com/release/rl3094644225/?ref_=bo_yld_table_8,8,Thor,2011,116.0,PG-13,Action & Adventure,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",https://itunes.apple.com/us/movie/thor/id689209608?uo=4
https://www.boxofficemojo.com/release/rl225216001/?ref_=bo_yld_table_9,9,Rise of the Planet of the Apes,2011,105.0,PG-13,Action & Adventure,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,https://itunes.apple.com/us/movie/rise-of-the-planet-of-the-apes/id459928677?uo=4
https://www.boxofficemojo.com/release/rl1900578305/?ref_=bo_yld_table_10,10,Captain America: The First Avenger,2011,125.0,PG-13,Action & Adventure,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",https://itunes.apple.com/us/movie/captain-america-the-first-avenger/id689184559?uo=4
